20.0, 0
40.0, 0
60.0, 0
80.0, 0
100.0, 0
120.0, 0
140.0, 0
160.0, 0
180.0, 0
200.0, 0
210.0, 0
220.0, 0
230.0, 0
240.0, 0
250.0, 0
260.0, 0
270.0, 0
280.0, 0
290.0, 0
300.0, 0
316.008408111, 1.25988904188
331.622636085, 5.00853351797
346.45820981, 11.1536293602
360.149828223, 19.5438639146
372.360358239, 29.9726417608
382.789136085, 42.1831717772
391.17937064, 55.8747901902
397.324466482, 70.7103639146
401.073110958, 86.324591889
402.333, 102.333
402.333, 107.333
402.333, 112.333
402.333, 117.333
402.333, 122.333
402.333, 127.333
402.333, 132.333
402.333, 137.333
402.333, 142.333
402.333, 147.333
402.333, 152.333
401.688693928, 160.519684859
399.771640667, 168.504786367
396.62904443, 176.091684823
392.338286367, 183.093565608
387.00501918, 189.33801918
380.760565608, 194.671286367
373.758684823, 198.96204443
366.171786367, 202.104640667
358.186684859, 204.021693928
350.0, 204.666
342.543238355, 205.252859869
335.270086929, 206.998989038
328.359634849, 209.861392012
321.982040379, 213.769586929
316.294341061, 218.627341061
311.436586929, 224.315040379
307.528392012, 230.692634849
304.665989038, 237.603086929
302.919859869, 244.876238355
302.333, 252.333
302.919859869, 259.789761645
304.665989038, 267.062913071
307.528392012, 273.973365151
311.436586929, 280.350959621
316.294341061, 286.038658939
321.982040379, 290.896413071
328.359634849, 294.804607988
335.270086929, 297.667010962
342.543238355, 299.413140131
350.0, 300.0
360.0, 300.0
370.0, 300.0
380.0, 300.0
390.0, 300.0
400.0, 300.0
410.0, 300.0
420.0, 300.0
430.0, 300.0
440.0, 300.0
450.0, 300.0
466.008408111, 301.259889042
481.622636085, 305.008533518
496.45820981, 311.15362936
510.149828223, 319.543863915
522.360358239, 329.972641761
532.789136085, 342.183171777
541.17937064, 355.87479019
547.324466482, 370.710363915
551.073110958, 386.324591889
552.333, 402.333
551.073110958, 418.341408111
547.324466482, 433.955636085
541.17937064, 448.79120981
532.789136085, 462.482828223
522.360358239, 474.693358239
510.149828223, 485.122136085
496.45820981, 493.51237064
481.622636085, 499.657466482
466.008408111, 503.406110958
450.0, 504.666
430.0, 504.666
410.0, 504.666
390.0, 504.666
370.0, 504.666
350.0, 504.666
330.0, 504.666
310.0, 504.666
290.0, 504.666
270.0, 504.666
250.0, 504.666
241.813315141, 504.021693928
233.828213633, 502.104640667
226.241315177, 498.96204443
219.239434392, 494.671286367
212.99498082, 489.33801918
207.661713633, 483.093565608
203.37095557, 476.091684823
200.228359333, 468.504786367
198.311306072, 460.519684859
197.667, 452.333
197.667, 442.333
197.667, 432.333
197.667, 422.333
197.667, 412.333
197.667, 402.333
197.667, 392.333
197.667, 382.333
197.667, 372.333
197.667, 362.333
197.667, 352.333
197.080140131, 344.876238355
195.334010962, 337.603086929
192.471607988, 330.692634849
188.563413071, 324.315040379
183.705658939, 318.627341061
178.017959621, 313.769586929
171.640365151, 309.861392012
164.729913071, 306.998989038
157.456761645, 305.252859869
150.0, 304.666
142.543238355, 305.252859869
135.270086929, 306.998989038
128.359634849, 309.861392012
121.982040379, 313.769586929
116.294341061, 318.627341061
111.436586929, 324.315040379
107.528392012, 330.692634849
104.665989038, 337.603086929
102.919859869, 344.876238355
102.333, 352.333
102.333, 362.333
102.333, 372.333
102.333, 382.333
102.333, 392.333
102.333, 402.333
102.333, 412.333
102.333, 422.333
102.333, 432.333
102.333, 442.333
102.333, 452.333
101.688693928, 460.519684859
99.7716406673, 468.504786367
96.6290444303, 476.091684823
92.3382863666, 483.093565608
87.0050191798, 489.33801918
80.7605656082, 494.671286367
73.7586848229, 498.96204443
66.1717863666, 502.104640667
58.186684859, 504.021693928
50.0, 504.666
30.0, 504.666
10.0, 504.666
-10.0, 504.666
-30.0, 504.666
-50.0, 504.666
-70.0, 504.666
-90.0, 504.666
-110.0, 504.666
-130.0, 504.666
-150.0, 504.666
-166.008408111, 503.406110958
-181.622636085, 499.657466482
-196.45820981, 493.51237064
-210.149828223, 485.122136085
-222.360358239, 474.693358239
-232.789136085, 462.482828223
-241.17937064, 448.79120981
-247.324466482, 433.955636085
-251.073110958, 418.341408111
-252.333, 402.333
-251.073110958, 386.324591889
-247.324466482, 370.710363915
-241.17937064, 355.87479019
-232.789136085, 342.183171777
-222.360358239, 329.972641761
-210.149828223, 319.543863915
-196.45820981, 311.15362936
-181.622636085, 305.008533518
-166.008408111, 301.259889042
-150.0, 300.0
-140.0, 300.0
-130.0, 300.0
-120.0, 300.0
-110.0, 300.0
-100.0, 300.0
-90.0, 300.0
-80.0, 300.0
-70.0, 300.0
-60.0, 300.0
-50.0, 300.0
-42.5432383549, 299.413140131
-35.2700869291, 297.667010962
-28.3596348489, 294.804607988
-21.982040379, 290.896413071
-16.2943410612, 286.038658939
-11.4365869291, 280.350959621
-7.52839201151, 273.973365151
-4.66598903776, 267.062913071
-2.91985986885, 259.789761645
-2.333, 252.333
-2.91985986885, 244.876238355
-4.66598903776, 237.603086929
-7.52839201151, 230.692634849
-11.4365869291, 224.315040379
-16.2943410612, 218.627341061
-21.982040379, 213.769586929
-28.3596348489, 209.861392012
-35.2700869291, 206.998989038
-42.5432383549, 205.252859869
-50.0, 204.666
-58.186684859, 204.021693928
-66.1717863666, 202.104640667
-73.7586848229, 198.96204443
-80.7605656082, 194.671286367
-87.0050191798, 189.33801918
-92.3382863666, 183.093565608
-96.6290444303, 176.091684823
-99.7716406673, 168.504786367
-101.688693928, 160.519684859
-102.333, 152.333
-102.333, 147.333
-102.333, 142.333
-102.333, 137.333
